Louvain_cluster,Cluster_Label,Cluster_Index,Celltype,Stage
13731,S14-cement gland primordium,26,cement gland primordium,S14
13732,S14-epidermal - ctbs,11,epidermal - ctbs,S14
13733,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13734,S14-posterior placodal area,18,posterior placodal area,S14
13735,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13736,S14-hatching gland,1,hatching gland,S14
13737,S14-somite,14,somite,S14
13738,S14-tail bud,3,tail bud,S14
13739,S14-epidermal - ctbs,11,epidermal - ctbs,S14
13740,S14-tail bud,3,tail bud,S14
13741,S14-somite,14,somite,S14
13742,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13743,S14-goblet cell,20,goblet cell,S14
13744,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13745,S14-posterior placodal area,18,posterior placodal area,S14
13746,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13747,S14-tail bud,3,tail bud,S14
13748,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13749,S14-notochord,28,notochord,S14
13750,S14-posterior placodal area,18,posterior placodal area,S14
13751,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
13752,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13753,S14-epidermal - collagen,10,epidermal - collagen,S14
13754,S14-somite,14,somite,S14
13755,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13756,S14-epidermal - collagen,10,epidermal - collagen,S14
13757,S14-tail bud,3,tail bud,S14
13758,S14-neural crest,24,neural crest,S14
13759,S14-small secretory cells,12,small secretory cells,S14
13760,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13761,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13762,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13763,S14-eye primordium,9,eye primordium,S14
13764,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13765,S14-small secretory cells,12,small secretory cells,S14
13766,S14-anterior neural plate - nkx2-1/nkx2-4,7,anterior neural plate - nkx2-1/nkx2-4,S14
13767,S14-ionocyte,21,ionocyte,S14
13768,S14-notoplate,5,notoplate,S14
13769,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13770,S14-intermediate mesoderm -ssg1,16,intermediate mesoderm -ssg1,S14
13771,S14-neuroendocrine cell,22,neuroendocrine cell,S14
13772,S14-intermediate mesoderm -ssg1,16,intermediate mesoderm -ssg1,S14
13773,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13774,S14-epidermal - ctbs,11,epidermal - ctbs,S14
13775,S14-neural crest,24,neural crest,S14
13776,S14-eye primordium,9,eye primordium,S14
13777,S14-chordal neural plate,6,chordal neural plate,S14
13778,S14-chordal neural plate,6,chordal neural plate,S14
13779,S14-posterior placodal area,18,posterior placodal area,S14
13780,S14-epidermal - collagen,10,epidermal - collagen,S14
13781,S14-tail bud,3,tail bud,S14
13782,S14-posterior placodal area,18,posterior placodal area,S14
13783,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13784,S14-cement gland primordium,26,cement gland primordium,S14
13785,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13786,S14-epidermal - collagen,10,epidermal - collagen,S14
13787,S14-goblet cell,20,goblet cell,S14
13788,S14-ionocyte,21,ionocyte,S14
13789,S14-eye primordium,9,eye primordium,S14
13790,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13791,S14-tail bud,3,tail bud,S14
13792,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13793,S14-notoplate,5,notoplate,S14
13794,S14-somite,14,somite,S14
13795,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13796,S14-presomitic mesoderm,27,presomitic mesoderm,S14
